Origin_Country_Cd,Origin_Route_City_Cd,Origin_Route_City_Nm,Origin_Area_Cd,Origin_Area_Nm,Meas_Type_Cd,Item_Id,Tag_Id,Planned_Drop_Date,Drop_Date,Dest_Country_Cd,Dest_Route_City_Cd,Dest_Route_City_Nm,Dest_Area_Cd,Dest_Area_Nm,Rcv_Date,Validated,Valid,Read_Dt,Read_Day,Site_Country_Cd,Site_Cd,Site_Nm,Site_Area_Nm,Reader,Reader_Id,Reader_Pse,Is_For_TD,FIR_PMC,Deletion_Reason_Cd,Deletion_Reason_Detail,TP_Read_After_Delivery,Has_TD_Read,Nr_Reads_Btw_Drop_And_Rcv,Nr_Reads_After_Delivery
CR,CRSJO,San José,CRSJO,San José,E2E,CR180314CU,J5GJ0001800076253,2018-08-09,2018-08-09,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,,,,,,,,,,0,0,,,,0,0,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180321CU,J5GJ0001800076229,2018-08-16,2018-08-16,CU,CUHAV,Havana,CUHCT,Habana,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180100UY,J5GJ0001800076851,2018-08-01,2018-08-01,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-03 14:44:12.9820000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,3,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180101UY,J5GJ0001800076851,2018-08-01,2018-08-01,UY,UYMVD,Montevideo,UYMVD,Montevideo,,0,1,2018-08-03 14:44:13.7000000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180101UY,J5GJ0001800076851,2018-08-01,2018-08-01,UY,UYMVD,Montevideo,UYMVD,Montevideo,,0,1,2018-08-03 14:44:57.4490000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,2,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180312CU,J5GJ0001800076,2018-08-01,2018-08-01,CU,CUHAV,Havana,CUHCT,Habana,2018-08-27,1,1,2018-08-07 21:37:54.6550000,Tuesday,CR,CRSJOA,Centro Tratamiento Postal Zapote,San José,,J11DJ0001000000060,Reader at the office exit,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180104,J5GJ0001800076854,2018-08-03,2018-08-03,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-08 07:44:52.5300000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,4,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,BO180134UY,J5GJ0001800076884,2018-08-02,2018-08-02,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-08 07:46:33.7300000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,6,0
CA,CASKP,Skopje,CASKP,Skopje,E2E,CA180126CU,J5GJ0001800092353,2018-08-02,2018-08-02,CU,CUHAV,Havana,CUHCT,Habana,,0,1,2018-08-10 06:47:41.0000000,Friday,DE,DEFRAA,IPZ Frankfurt,Frankfurt am Main,DEFRAA RP93 Airside,J11DJ0001400000094,Reader at the office entrance,1,0,,,0,1,64,0
MK,MKSKP,Skopje,MKSKP,Skopje,E2E,MK180126CU,J5GJ0001800092353,2018-08-02,2018-08-02,CU,CUHAV,Havana,CUHCT,Habana,,0,1,,Friday,DE,DEFRAA,IPZ Frankfurt,Frankfurt am Main,DEFRAA RP92 Airside,J11DJ0001400000093,Reader at the office entrance,1,0,,,0,1,64,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180099BO,J5GJ0001800050581,2018-08-02,2018-08-02,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,2018-08-14 07:20:27.0260000,Tuesday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000048,Process,1,0,,,0,1,4,0
MK,MKGVL,Gevgelija,MKGCT,Gevgelija,E2E,MK180108CU,J5GJ0001800092338,2018-08-10,2018-08-10,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,2018-08-15 08:25:03.0000000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,115,0
MK,MKGVL,Gevgelija,MKGCT,Gevgelija,E2E,MK180108CU,J5GJ0001800092338,2018-08-10,2018-08-10,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,2018-08-15 11:47:53.0000000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at office entrance and exit,0,0,,,0,1,115,0
MK,MKGVL,Gevgelija,MKGCT,Gevgelija,E2E,MK180108CU,J5GJ0001800092338,2018-08-10,2018-08-10,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,2018-08-15 18:17:57.0000000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at office entrance and exit,0,0,,,0,1,115,0
MK,MKGVL,Gevgelija,MKGCT,Gevgelija,E2E,MK180108CU,J5GJ0001800092338,2018-08-10,2018-08-10,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,2018-08-15 18:24:54.0000000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at office entrance and exit,0,0,,,0,1,115,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180100UY,J5GJ0001800076850,2018-08-01,2018-08-01,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-03 14:44:12.9820000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,2,0
